Date : 2025-03-07 00:22:12
Directory : c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing
Total : 173 files,  18890 codes, 1205 comments, 1704 blanks, all 21799 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     10,936 |          0 |          2 |     10,938 |
| Java               |         97 |      5,281 |        947 |      1,345 |      7,573 |
| TypeScript JSX     |         26 |      1,221 |         90 |        169 |      1,480 |
| TypeScript         |         18 |        548 |        113 |         66 |        727 |
| YAML               |         11 |        329 |          0 |         21 |        350 |
| XML                |          5 |        205 |          1 |          5 |        211 |
| Batch              |          1 |        108 |         26 |         16 |        150 |
| Python             |          2 |         85 |          1 |         22 |        108 |
| Markdown           |          2 |         53 |          0 |         24 |         77 |
| JavaScript JSX     |          1 |         35 |          0 |          7 |         42 |
| Java Properties    |          2 |         28 |         16 |          5 |         49 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| JavaScript         |          2 |         18 |          1 |          7 |         26 |
| Docker             |          1 |         12 |         10 |          9 |         31 |
| CSS                |          1 |          3 |          0 |          5 |          8 |
| Ignore             |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                |        173 |     18,890 |      1,205 |      1,704 |     21,799 |
| . (Files)                                                                                                                                                                        |          1 |         30 |          0 |         10 |         40 |
| backend                                                                                                                                                                          |        104 |      5,642 |      1,000 |      1,381 |      8,023 |
| backend (Files)                                                                                                                                                                  |          5 |        333 |         37 |         31 |        401 |
| backend\.mvn                                                                                                                                                                     |          1 |          3 |         16 |          1 |         20 |
| backend\.mvn\wrapper                                                                                                                                                             |          1 |          3 |         16 |          1 |         20 |
| backend\src                                                                                                                                                                      |         98 |      5,306 |        947 |      1,349 |      7,602 |
| backend\src\main                                                                                                                                                                 |         72 |      2,622 |        584 |        626 |      3,832 |
| backend\src\main\java                                                                                                                                                            |         71 |      2,597 |        584 |        622 |      3,803 |
| backend\src\main\java\com                                                                                                                                                        |         71 |      2,597 |        584 |        622 |      3,803 |
| backend\src\main\java\com\ineedhousing                                                                                                                                           |         71 |      2,597 |        584 |        622 |      3,803 |
| backend\src\main\java\com\ineedhousing\backend                                                                                                                                   |         71 |      2,597 |        584 |        622 |      3,803 |
